powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
PHEV,western europe,2026,5027.019991068759,4.49384834007,1626.7527973888,1138.72695817216,Q3,20000,20,0.43456347073218593,0.08691269414643718
PHEV,western europe,2026,5027.019991068759,4.49384834007,1626.7527973888,1138.72695817216,Q4,40000,10,0.23975097706644297,0.023975097706644296
BEV,western europe,2026,4616.065084395286,2.4841818072,1755.800482048,1053.4802892288,Q1,2500,35,2.9949801603408344,1.0482430561192921
BEV,western europe,2026,4616.065084395286,2.4841818072,1755.800482048,1053.4802892288,Q2,10000,35,0.7673764036392087,0.26858174127372303
BEV,western europe,2026,4616.065084395286,2.4841818072,1755.800482048,1053.4802892288,Q3,20000,20,0.3961091108556043,0.07922182217112086
BEV,western europe,2026,4616.065084395286,2.4841818072,1755.800482048,1053.4802892288,Q4,40000,10,0.21047546446380216,0.021047546446380218
FCEV,western europe,2026,5064.4530656403385,7.376417992799999,1871.6329874527844,1497.3063899622275,Q1,2500,35,3.44712115715014,1.206492405002549
FCEV,western europe,2026,5064.4530656403385,7.376417992799999,1871.6329874527844,1497.3063899622275,Q2,10000,35,0.9171034242335351,0.32098619848173726
FCEV,western europe,2026,5064.4530656403385,7.376417992799999,1871.6329874527844,1497.3063899622275,Q3,20000,20,0.49543380208076754,0.09908676041615351
FCEV,western europe,2026,5064.4530656403385,7.376417992799999,1871.6329874527844,1497.3063899622275,Q4,40000,10,0.28459899100438374,0.028459899100438377
ICE-G,western europe,2027,4788.292043305061,8.66996583003367,1859.4,2169.3,Q1,2500,35,3.613496475622361,1.2647237664678264
ICE-G,western europe,2027,4788.292043305061,8.66996583003367,1859.4,2169.3,Q2,10000,35,0.9683988626308427,0.338939601920795
ICE-G,western europe,2027,4788.292043305061,8.66996583003367,1859.4,2169.3,Q3,20000,20,0.5275492604655897,0.10550985209311793
ICE-G,western europe,2027,4788.292043305061,8.66996583003367,1859.4,2169.3,Q4,40000,10,0.30712445938296323,0.03071244593829632
ICE-D,western europe,2027,4942.802919178087,7.223114884817622,1919.4,2239.3,Q1,2500,35,3.7128323165194117,1.2994913107817943
ICE-D,western europe,2027,4942.802919178087,7.223114884817622,1919.4,2239.3,Q2,10000,35,0.982381440765985,0.3438335042680947
ICE-D,western europe,2027,4942.802919178087,7.223114884817622,1919.4,2239.3,Q3,20000,20,0.5273062948070806,0.1054612589614161
ICE-D,western europe,2027,4942.802919178087,7.223114884817622,1919.4,2239.3,Q4,40000,10,0.2997687218276284,0.02997687218276284
CNG,western europe,2027,4712.9994526203645,5.350061559029039,1435.85,1723.02,Q1,2500,35,3.2022483966384367,1.1207869388234528
CNG,western europe,2027,4712.9994526203645,5.350061559029039,1435.85,1723.02,Q2,10000,35,0.840687560852327,0.2942406462983145
CNG,western europe,2027,4712.9994526203645,5.350061559029039,1435.85,1723.02,Q3,20000,20,0.4470940882213087,0.08941881764426174
CNG,western europe,2027,4712.9994526203645,5.350061559029039,1435.85,1723.02,Q4,40000,10,0.25029735190579955,0.025029735190579955
HEV,western europe,2027,4626.7375461817965,7.8817871182124275,1646.942738510643,1347.4986042359806,Q1,2500,35,3.127289426753492,1.094551299363722
HEV,western europe,2027,4626.7375461817965,7.8817871182124275,1646.942738510643,1347.4986042359806,Q2,10000,35,0.8409357600749662,0.2943275160262382
HEV,western europe,2027,4626.7375461817965,7.8817871182124275,1646.942738510643,1347.4986042359806,Q3,20000,20,0.4598768156285452,0.09197536312570903
HEV,western europe,2027,4626.7375461817965,7.8817871182124275,1646.942738510643,1347.4986042359806,Q4,40000,10,0.2693473434053347,0.02693473434053347
PHEV,western europe,2027,5018.150721012052,4.555348035518701,1623.882685493248,1136.7178798452735,Q1,2500,35,3.157053994895416,1.1049688982133956
PHEV,western europe,2027,5018.150721012052,4.555348035518701,1623.882685493248,1136.7178798452735,Q2,10000,35,0.8234286089902443,0.2882000131465855
PHEV,western europe,2027,5018.150721012052,4.555348035518701,1623.882685493248,1136.7178798452735,Q3,20000,20,0.43449104467271565,0.08689820893454313
PHEV,western europe,2027,5018.150721012052,4.555348035518701,1623.882685493248,1136.7178798452735,Q4,40000,10,0.2400222625139513,0.02400222625139513
